id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
05-Jan-2021_RYR9AK,departure,7.05,09,09,05,1514.3721638228353,588.6724654163329,0,1135.0914086275257,71.1519727783,0,1443.2201910445353,23R/05L,1,0,5,0,3,0,0,0,4,0,0
07-Jan-2021_RYR9AK,departure,9.216666666666667,17,17,07,1229.1078829253609,322.18195463576944,0,1018.8546728375449,71.0274540777,709.7835036448448,448.29692520281606,23R/05L,1,0,1,0,1,0,0,1,0,0,0
09-Jan-2021_RYR9AK,departure,8.866666666666667,17,17,09,1216.0225117677644,470.3046691443062,0,1018.8546728375449,71.0274540777,565.1118910359618,579.8831666541026,23R/05L,1,0,4,1,1,0,0,2,2,0,0
12-Jan-2021_RYR9AK,departure,10.3,10,10,12,1797.0096818009358,337.4164691188425,0,1572.392429811169,83.4322277087,793.0457372249411,920.5317168672946,23R/05L,1,0,2,0,1,0,0,0,1,0,0
16-Jan-2021_RYR9AK,departure,9.05,17,17,16,1434.8214984664824,537.5308236730493,0,1169.8033190408746,91.6845157884,0,1343.1369826780824,23R/05L,1,0,3,0,0,0,0,0,2,0,0
19-Jan-2021_RYR9AK,departure,7.533333333333333,10,10,19,1324.6344711686825,534.6166240132011,0,1062.391793649275,88.9090138822,0,1235.7254572864824,23R/05L,1,0,3,0,0,0,0,1,2,0,0
02-Jan-2021_RYR4094,departure,5.633333333333334,18,18,02,1861.9173246909108,336.464631718323,0,1531.4144499646616,0,0,1861.9173246909108,23R/05L,1,0,0,0,0,0,0,0,0,0,0
05-Jan-2021_RYR4094,departure,8.483333333333333,17,17,05,1330.1304770431914,459.22793719459855,0,1102.6128036347322,91.6845157884,0,1238.4459612547914,23R/05L,1,0,3,0,0,0,0,0,2,0,0
02-Jan-2021_RYR6KV,arrival,3.1166666666666667,18,18,02,964.6581197950112,508.2363230820606,0,721.1908265678505,71.1519727783,0,893.5061470167112,23R/05L,1,0,0,0,0,0,0,0,0,0,0
02-Jan-2021_RYR39HU,arrival,4.783333333333333,19,19,02,1455.9118758165826,361.2980185436147,0,1169.8033190408748,91.6845157884,608.7054608738868,755.5218991542959,23R/05L,1,0,0,0,0,0,0,0,0,0,0
02-Jan-2021_EZY1948,arrival,3.783333333333333,19,19,02,1566.1152326581825,446.4360105154077,0,1259.2826178789749,170.07485191,608.7054608738868,787.3349198742958,23R/05L,1,0,0,0,0,0,0,0,0,0,0
03-Jan-2021_EZY1948,arrival,12.683333333333334,20,20,03,1455.9118758165826,361.2980185436147,0,1169.8033190408748,91.6845157884,608.7054608738868,755.5218991542959,23R/05L,1,0,4,0,0,2,1,0,0,2,2
02-Jan-2021_RYR5154,departure,10.0,19,19,02,2204.5808553140155,489.085750204545,0,1873.964058320165,71.1519727783,1076.5083780047717,1056.9205045309436,23R/05L,1,0,1,0,0,0,0,0,0,0,0
